controller_name,success_rate,avg_steps,avg_path_length,avg_blocked_moves,avg_total_reward,avg_path_efficiency,avg_hazard_failures,avg_hazard_collisions,avg_decision_time_ms
Full Risk-Aware MPC,0.6666666666666666,34.666666666666664,34.666666666666664,0.0,13.39333333333333,0.6025641025641025,0.0,0.0,3.9295612245471543
No Learned Terminal,1.0,25.0,25.0,0.0,26.596666666666664,0.8320833333333333,0.0,0.0,3.991503305825922
No Heuristic Terminal,1.0,22.333333333333332,22.333333333333332,0.0,27.47666666666667,0.9069119286510592,0.0,0.0,3.9420723550708505
No Risk Predictor,0.6666666666666666,34.666666666666664,34.666666666666664,0.0,13.39333333333333,0.6025641025641025,0.0,0.0,1.124856272234479
No Predictive Hazard,0.6666666666666666,34.666666666666664,34.666666666666664,0.0,13.39333333333333,0.6025641025641025,0.0,0.0,3.9019183907015775
