epoch,train_loss,val_loss,train_mae,val_mae,sample_count,train_group_count,val_group_count
0.0,0.006056869895871423,0.00460709636566381,0.04486321279883481,0.03957472162054932,13953.0,412.0,103.0
1.0,0.005766560707829225,0.004451549358032724,0.03732014259393229,0.032746104972701834,13953.0,412.0,103.0
2.0,0.005994164380157433,0.004615250883217566,0.038708231941963114,0.03408598319290278,13953.0,412.0,103.0
3.0,0.0058132964650500826,0.004522634557304238,0.036256676756852776,0.03192755464674607,13953.0,412.0,103.0
4.0,0.005893577175209731,0.004655732099771582,0.03852379305268861,0.035665946823622334,13953.0,412.0,103.0
5.0,0.005764963798566808,0.004574753018386666,0.03814665774642895,0.03533969601745696,13953.0,412.0,103.0
6.0,0.005883319443039225,0.004727065841103595,0.052014738471185124,0.05018489438181851,13953.0,412.0,103.0
7.0,0.005899319354305267,0.004693781509297267,0.04957824771766289,0.047872544387867665,13953.0,412.0,103.0
8.0,0.006664960431011733,0.005416847464696058,0.0522127051814551,0.04899428562379958,13953.0,412.0,103.0
9.0,0.006670052217533879,0.0054700620886222314,0.051745147063723726,0.04886802442427434,13953.0,412.0,103.0
10.0,0.006183007540531583,0.005016455443584885,0.05939409393585152,0.05686241272474466,13953.0,412.0,103.0
11.0,0.006286214969728485,0.005029496464955365,0.0474849701047528,0.04495135804798765,13953.0,412.0,103.0
12.0,0.0066515729600076425,0.005363104773914485,0.04809859772263967,0.04388641678040728,13953.0,412.0,103.0
13.0,0.006503887753643297,0.00531332918710015,0.04592532980754462,0.04249267341091812,13953.0,412.0,103.0
14.0,0.005591379236011321,0.00441821486760993,0.03438092841170889,0.031327347972071914,13953.0,412.0,103.0
15.0,0.005849803609688912,0.004660345044711174,0.03438928831161423,0.03192464599702287,13953.0,412.0,103.0
