controller_name,repeat_count,success_rate_mean,success_rate_std,success_rate_ci_low,success_rate_ci_high,success_rate_iqm,success_rate_iqm_ci_low,success_rate_iqm_ci_high,avg_steps_mean,avg_steps_std,avg_steps_ci_low,avg_steps_ci_high,avg_steps_iqm,avg_steps_iqm_ci_low,avg_steps_iqm_ci_high,avg_total_reward_mean,avg_total_reward_std,avg_total_reward_ci_low,avg_total_reward_ci_high,avg_total_reward_iqm,avg_total_reward_iqm_ci_low,avg_total_reward_iqm_ci_high,avg_path_efficiency_mean,avg_path_efficiency_std,avg_path_efficiency_ci_low,avg_path_efficiency_ci_high,avg_path_efficiency_iqm,avg_path_efficiency_iqm_ci_low,avg_path_efficiency_iqm_ci_high,avg_hazard_failures_mean,avg_hazard_failures_std,avg_hazard_failures_ci_low,avg_hazard_failures_ci_high,avg_hazard_failures_iqm,avg_hazard_failures_iqm_ci_low,avg_hazard_failures_iqm_ci_high,avg_decision_time_ms_mean,avg_decision_time_ms_std,avg_decision_time_ms_ci_low,avg_decision_time_ms_ci_high,avg_decision_time_ms_iqm,avg_decision_time_ms_iqm_ci_low,avg_decision_time_ms_iqm_ci_high
Risk-Aware Value MPC,5.0,0.8666666666666666,0.06666666666666665,0.8,0.9166666666666666,0.8888888888888888,0.7777777777777778,0.9166666666666666,31.05,3.8215761727910715,28.26666666666667,34.65,30.0,27.722222222222225,36.0,19.929166666666664,3.093605995526184,16.826166666666666,22.259166666666665,20.935,15.831111111111111,22.438055555555554,0.7507362181121823,0.056836900557809066,0.6955308356518034,0.7910429018445322,0.7659402507425824,0.6808707807568256,0.7944309489825794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.052847812685502,1.0554619026824295,5.241821321370951,7.092588441790762,5.731235292947225,5.221247318689971,7.458449333391065
Value MPC,5.0,0.85,0.09718253158075502,0.75,0.9166666666666666,0.8888888888888888,0.7222222222222222,0.9166666666666666,31.68333333333333,5.217864612186782,28.21583333333333,36.83333333333333,29.777777777777775,27.777777777777775,38.36111111111111,19.53083333333333,4.220997676958481,15.247666666666666,22.21333333333333,21.283888888888885,14.145277777777777,22.42638888888889,0.7572763265544646,0.07823129697448247,0.6775133434626773,0.8081178412809724,0.7843444009402109,0.6601467131577582,0.8187805178951741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.507199079871646,0.9926903499152805,2.7400340894851882,4.487781286089497,3.2068047701629876,2.7238710175950422,4.829096376397335
Dynamic A*,5.0,0.8666666666666666,0.06666666666666665,0.8,0.9166666666666666,0.8888888888888888,0.7777777777777778,0.9166666666666666,27.93333333333333,5.48973790104976,23.283333333333335,33.233333333333334,27.75,21.944444444444446,33.19444444444444,20.17516666666667,3.5825864880620037,16.62466666666667,22.906333333333336,21.178611111111113,15.417777777777781,23.143611111111113,0.826858695652174,0.06573388934293746,0.7618212560386473,0.8746557971014491,0.8494887278582931,0.7420491143317229,0.8812177938808373,0.016666666666666666,0.03333333333333333,0.0,0.05,0.0,0.0,0.05555555555555555,2.2012915431012203,0.9141338121286534,1.5034012249659672,3.110822283662039,1.9100955667167867,1.4754225056656392,3.072271040515828
Static A*,5.0,0.4333333333333333,0.06236095644623236,0.3833333333333333,0.4833333333333334,0.4444444444444445,0.3611111111111111,0.5,22.766666666666666,5.931881844931018,17.82958333333334,28.28333333333333,22.833333333333332,16.055555555555557,29.805555555555557,1.664833333333334,2.7130781718680104,-0.6806666666666656,4.0103333333333335,1.8772222222222232,-1.0369444444444427,4.671944444444446,0.4333333333333333,0.06236095644623236,0.3666666666666667,0.4833333333333334,0.4444444444444445,0.3611111111111111,0.5,0.45,0.11303883305208783,0.35,0.55,0.4444444444444445,0.3333333333333333,0.5833333333333334,0.3086460430723059,0.09051442070068393,0.2370589779628096,0.39884000875279346,0.29135799742028823,0.2265297539502588,0.4266481208765942
