repeat,train_seed,eval_seed,controller_name,success_rate,avg_steps,avg_path_length,avg_blocked_moves,avg_total_reward,avg_path_efficiency,avg_hazard_failures,avg_hazard_collisions,avg_decision_time_ms
0.0,20260324.0,20260426.0,Dynamic A*,0.75,36.5,33.0,0.5,13.90916666666667,0.703653381642512,0.0,0.0,3.808127567941464
0.0,20260324.0,20260426.0,Risk-Aware Value MPC,0.75,38.083333333333336,35.166666666666664,0.16666666666666666,14.334999999999999,0.6444891536603493,0.0,0.0,7.8549728739607945
0.0,20260324.0,20260426.0,Value MPC,0.6666666666666666,41.75,28.0,0.16666666666666666,11.299999999999997,0.6058272946859904,0.0,0.0,5.215734212865034
0.0,20260324.0,20260426.0,Static A*,0.4166666666666667,31.5,28.0,0.5,-0.40416666666666473,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.461402867152549
1.0,20260331.0,20260503.0,Dynamic A*,0.9166666666666666,26.0,24.25,0.16666666666666666,22.56916666666667,0.8821739130434781,0.0,0.0,1.4680434474142778
1.0,20260331.0,20260503.0,Value MPC,0.9166666666666666,27.333333333333332,26.166666666666668,0.16666666666666666,22.5025,0.8275211352657004,0.0,0.0,2.6998468760042367
1.0,20260331.0,20260503.0,Risk-Aware Value MPC,0.9166666666666666,27.166666666666668,26.25,0.16666666666666666,22.50583333333333,0.8113711846728151,0.0,0.0,5.232621334819821
1.0,20260331.0,20260503.0,Static A*,0.3333333333333333,20.5,19.166666666666668,0.16666666666666666,-2.302499999999999,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.2528528139816358
2.0,20260407.0,20260510.0,Dynamic A*,0.8333333333333334,30.666666666666668,28.0,0.3333333333333333,18.435000000000006,0.8188405797101449,0.0,0.0,2.6395480923174417
2.0,20260407.0,20260510.0,Value MPC,0.8333333333333334,31.583333333333332,20.416666666666668,0.3333333333333333,19.835833333333333,0.7829483695652174,0.0,0.0,4.05582070346194
2.0,20260407.0,20260510.0,Risk-Aware Value MPC,0.8333333333333334,31.833333333333332,29.916666666666668,0.3333333333333333,18.823333333333334,0.760550477602108,0.0,0.0,6.665402252251606
2.0,20260407.0,20260510.0,Static A*,0.5,26.416666666666668,24.0,0.3333333333333333,4.025833333333335,0.5,0.3333333333333333,0.3333333333333333,0.3571386283246845
3.0,20260414.0,20260517.0,Dynamic A*,0.9166666666666666,26.583333333333332,25.333333333333332,0.16666666666666666,22.531666666666666,0.8503200483091787,0.0,0.0,1.4901806221683618
3.0,20260414.0,20260517.0,Value MPC,0.9166666666666666,29.083333333333332,28.083333333333332,0.16666666666666666,21.741666666666664,0.7687855501012936,0.0,0.0,2.7358830883904446
3.0,20260414.0,20260517.0,Risk-Aware Value MPC,0.9166666666666666,29.333333333333332,28.416666666666668,0.16666666666666666,21.679166666666664,0.7536340349497782,0.0,0.0,5.2956822917702455
3.0,20260414.0,20260517.0,Static A*,0.5,21.583333333333332,20.166666666666668,0.16666666666666666,4.995,0.5,0.4166666666666667,0.4166666666666667,0.2640825499545444
4.0,20260421.0,20260524.0,Dynamic A*,0.9166666666666666,19.916666666666668,19.333333333333332,0.0,23.430833333333336,0.8793055555555555,0.08333333333333333,0.08333333333333333,1.6005579856645562
4.0,20260421.0,20260524.0,Value MPC,0.9166666666666666,28.666666666666668,27.333333333333332,0.16666666666666666,22.274166666666662,0.8012992831541218,0.0,0.0,2.8287105186365777
4.0,20260421.0,20260524.0,Risk-Aware Value MPC,0.9166666666666666,28.833333333333332,27.833333333333332,0.16666666666666666,22.3025,0.7836362396758609,0.0,0.0,5.215560310625046
4.0,20260421.0,20260524.0,Static A*,0.4166666666666667,13.833333333333334,13.5,0.0,2.0099999999999993,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.20775335594811603
